pt,p_throws,delta_3b_in,d_stuff,n
FC,R,19,2.1299161025591,13054
SL,R,19,3.82265491584757,20362
CU,R,19,5.62597862344718,11619
FF,R,19,0.123378918578954,52611
CH,R,19,-0.296925553758225,16724
FS,R,19,0.203414066310874,6921
ST,R,19,2.99909725586568,12577
CU,L,19,0.0607300620519418,4418
SI,L,19,0.4654972982904,11579
ST,L,19,-0.246155362112569,4904
FF,L,19,0.146033419615407,21223
CH,L,19,2.44165346143494,9928
SL,L,19,-1.39776425418821,8724
FC,L,19,-0.592348527851306,4405
FS,L,19,2.61819177573445,781
SI,R,18,-0.0515257284133166,25818
FC,R,18,1.81295011003418,13054
SL,R,18,3.38574559506933,20362
CU,R,18,5.01024809236593,11619
FF,R,18,0.0898290161317494,52611
CH,R,18,-0.330852927157608,16724
FS,R,18,0.126620342199417,6921
ST,R,18,2.68118562293972,12577
CU,L,18,0.146121827105526,4418
SI,L,18,0.416392447143684,11579
ST,L,18,-0.0651421490506042,4904
FF,L,18,0.127197160615213,21223
CH,L,18,2.26576620244507,9928
SL,L,18,-1.32337681270776,8724
FC,L,18,-0.56805341657321,4405
FS,L,18,2.38414338078654,781
SI,R,17,-0.0710235497865899,25818
FC,R,17,1.5319674689452,13054
SL,R,17,2.96070370791284,20362
CU,R,17,4.44990335671,11619
FF,R,17,0.0601271473508138,52611
CH,R,17,-0.358546270699788,16724
FS,R,17,0.0644206621334485,6921
ST,R,17,2.3922591775821,12577
CU,L,17,0.230116501736502,4418
SI,L,17,0.371955442943886,11579
ST,L,17,0.120114937475676,4904
FF,L,17,0.110408655480458,21223
CH,L,17,2.09619904262249,9928
SL,L,17,-1.237836299459,8724
FC,L,17,-0.542022696121574,4405
FS,L,17,2.18222930247162,781
SI,R,16,-0.0854781728477223,25818
FC,R,16,1.31041893962774,13054
SL,R,16,2.65249492466825,20362
CU,R,16,3.98620545346826,11619
FF,R,16,0.04238818469429,52611
CH,R,16,-0.377961785903371,16724
